2022-05-16 22:05:238 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 22:05:446 INFO  HomePage :43 - Clicking on Sign in Link [[ChromeDriver: chrome on WINDOWS (e8d3d5a734965940f4e37d9c1ffd660d)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-16 22:05:127 INFO  SignInPage :75 - Entering email address: 948[[ChromeDriver: chrome on WINDOWS (e8d3d5a734965940f4e37d9c1ffd660d)] -> xpath: //input[@id='email_create']]
2022-05-16 22:05:218 INFO  SignInPage :80 - Clicking on create Account button: [[ChromeDriver: chrome on WINDOWS (e8d3d5a734965940f4e37d9c1ffd660d)] -> xpath: //span[normalize-space()='Create an account']]
2022-05-16 22:05:947 INFO  CreateAccountPage :80 - Clicking on female radio button: [[ChromeDriver: chrome on WINDOWS (e8d3d5a734965940f4e37d9c1ffd660d)] -> xpath: //input[@id='id_gender2']]
2022-05-16 22:05:18 INFO  CreateAccountPage :82 - Entering First Name: [[ChromeDriver: chrome on WINDOWS (e8d3d5a734965940f4e37d9c1ffd660d)] -> xpath: //input[@id='customer_firstname']]
2022-05-16 22:05:109 INFO  CreateAccountPage :84 - Entering Last Name: [[ChromeDriver: chrome on WINDOWS (e8d3d5a734965940f4e37d9c1ffd660d)] -> xpath: //input[@id='customer_lastname']]
2022-05-16 22:05:184 INFO  CreateAccountPage :86 - Entering Password: [[ChromeDriver: chrome on WINDOWS (e8d3d5a734965940f4e37d9c1ffd660d)] -> xpath: //input[@id='passwd']]
2022-05-16 22:05:287 INFO  CreateAccountPage :91 - Entering firstname in address details field: [[ChromeDriver: chrome on WINDOWS (e8d3d5a734965940f4e37d9c1ffd660d)] -> id: firstname]
2022-05-16 22:05:395 INFO  CreateAccountPage :93 - Entering lastname in address details field: [[ChromeDriver: chrome on WINDOWS (e8d3d5a734965940f4e37d9c1ffd660d)] -> id: lastname]
2022-05-16 22:05:485 INFO  CreateAccountPage :95 - Entering Address: [[ChromeDriver: chrome on WINDOWS (e8d3d5a734965940f4e37d9c1ffd660d)] -> xpath: //input[@id='address1']]
2022-05-16 22:05:629 INFO  CreateAccountPage :97 - Entering city: [[ChromeDriver: chrome on WINDOWS (e8d3d5a734965940f4e37d9c1ffd660d)] -> xpath: //input[@id='city']]
2022-05-16 22:05:713 INFO  CreateAccountPage :99 - Entering PostCode: [[ChromeDriver: chrome on WINDOWS (e8d3d5a734965940f4e37d9c1ffd660d)] -> xpath: //input[@id='postcode']]
2022-05-16 22:05:793 INFO  CreateAccountPage :101 - Selecting State: [[ChromeDriver: chrome on WINDOWS (e8d3d5a734965940f4e37d9c1ffd660d)] -> xpath: //select[@id='id_state']]
2022-05-16 22:05:97 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 22:05:739 INFO  HomePage :43 - Clicking on Sign in Link [[ChromeDriver: chrome on WINDOWS (4c57ec7119659978a5c9f6aac36f6b91)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-16 22:05:936 INFO  SignInPage :75 - Entering email address: 717[[ChromeDriver: chrome on WINDOWS (4c57ec7119659978a5c9f6aac36f6b91)] -> xpath: //input[@id='email_create']]
2022-05-16 22:05:24 INFO  SignInPage :80 - Clicking on create Account button: [[ChromeDriver: chrome on WINDOWS (4c57ec7119659978a5c9f6aac36f6b91)] -> xpath: //span[normalize-space()='Create an account']]
2022-05-16 22:05:334 INFO  CreateAccountPage :80 - Clicking on female radio button: [[ChromeDriver: chrome on WINDOWS (4c57ec7119659978a5c9f6aac36f6b91)] -> xpath: //input[@id='id_gender2']]
2022-05-16 22:05:398 INFO  CreateAccountPage :82 - Entering First Name: [[ChromeDriver: chrome on WINDOWS (4c57ec7119659978a5c9f6aac36f6b91)] -> xpath: //input[@id='customer_firstname']]
2022-05-16 22:05:495 INFO  CreateAccountPage :84 - Entering Last Name: [[ChromeDriver: chrome on WINDOWS (4c57ec7119659978a5c9f6aac36f6b91)] -> xpath: //input[@id='customer_lastname']]
2022-05-16 22:05:607 INFO  CreateAccountPage :86 - Entering Password: [[ChromeDriver: chrome on WINDOWS (4c57ec7119659978a5c9f6aac36f6b91)] -> xpath: //input[@id='passwd']]
2022-05-16 22:05:707 INFO  CreateAccountPage :91 - Entering firstname in address details field: [[ChromeDriver: chrome on WINDOWS (4c57ec7119659978a5c9f6aac36f6b91)] -> id: firstname]
2022-05-16 22:05:823 INFO  CreateAccountPage :93 - Entering lastname in address details field: [[ChromeDriver: chrome on WINDOWS (4c57ec7119659978a5c9f6aac36f6b91)] -> id: lastname]
